CNN,CODE,CNN_1,STREET1,STREET2,DETECTION,STREET3,SUP_DIST,STREET4,VEH_ACTUAT,PED_SIGNAL,PED_ACTUAT,TBC,PREEMPT_PR,D_ATE2070,PROJECT_NE,PROJECT_OL,UPGRADED,YR_OF_CONT,LAST_UPGRA,NEW_SIGNAL,MOD_PROJEC,FULL_UPGRA,BEACON_FLA,FUNDING,RLCAM,STARTYEAR,CALTRANS_R,CALTRANS,PERCENT_C,SF,PERCENT_SF,PERCENT_PO,APS,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
21699000,,21699000,BOSWORTH,MISSION,OPTICOM,MURRAY,8;9,,,ALL,,GPS,TSP;FIRE PREEMPT,,,OUTER MISSION,FULL DONE,,1999,NONE,NONE,DONE,NONE,SALES TAX,,1951,,,0,,0,0,,POINT (-122.42638 37.73367),93,9,2,2,93
21351000,,21351000,28TH ST,GUERRERO,,,8,,,,,GPS,,,,,,,0,,,,,,,0,,,0,,0,0,,POINT (-122.4222 37.745575),83,9,5,2,83
26027000,,26027000,OAK,SCOTT,,,5,,,ALL,,GPS,,,,HES,FULL DONE,Jul-00,0,NONE,NONE,DONE,NONE,SALES TAX,,1955,,,0,,0,0,,POINT (-122.43574 37.773342),26,4,11,3,26
20467000,,20467000,03RD ST,LE CONTE,VETAG,,10,,WIRELESS,ALL,YES,GPS,TSP,,,3RDLRP,NEW DONE,1-Oct,2005,DONE,NONE,NONE,NONE,MUNI,,2005,,,0,,0,0,APS_2WIRE_PH1 (9),POINT (-122.39746 37.71883),88,2,9,1,88
26723000,,26723000,BAY,FRANKLIN,,,2,,,ALL,,GPS,,,,Franklin Upgrade,MOD DONE,,0,NONE,NONE,DONE,NONE,SALES TAX,,1956,,,0,,0,0,,POINT (-122.42674 37.803932),98,4,6,13,98
34186000,,34186000,07TH ST,BERRY ST EXTENSION,,MISSION BAY,6;10,,VIDEO,ALL,YES,GPS,HEAVY RAIL PREEMPT,,,MISSION BAY,NEW DONE,,2009,DONE,NONE,NONE,NONE,,,2009,,,0,,0,0,,POINT (-122.39863 37.769405),34,1,10,4,34
26627000,,26627000,BUSH,SCOTT,,,2;5,,,ALL,,GPS,,,,BUSH,FULL DONE,1-Oct,2004,NONE,NONE,DONE,NONE,SALES TAX,,1949,,,0,,0,0,,POINT (-122.43838 37.78639),103,4,6,30,103
23611000,,23611000,CESAR CHAVEZ,PENNSYLVANIA,,,10,,LOOPS,ALL,YES,GPS,,,,,NONE,,0,,,,,,,1966,280,X,25,,75,0,PENDING,POINT (-122.39237 37.750015),56,2,9,1,56
24315000,,24315000,07TH ST,MISSION,OPTICOM,,6,,,ALL,,GPS,TSP;FIRE PREEMPT,,,SOMA MISSION,FULL DONE,1-Apr,2003,NONE,NONE,DONE,NONE,SALES TAX,,1956,,,0,,0,0,PENDING,POINT (-122.41093 37.779205),32,1,10,34,32
24149000,,24149000,18TH ST,MISSION,OPTICOM,,9,,,ALL,,GPS,TSP;FIRE PREEMPT,,Signal Visibility Upgrades Ph 2,MID MISSION,MOD AFTER FULL FUTURE,,0,NONE,FUTURE,DONE,NONE,,,1953,,,0,,0,0,PENDING,POINT (-122.41935 37.76183),53,3,2,20,53
26446000,,26446000,HAYES,STANYAN,,,1;5,,WIRELESS (NOT USED),ALL,,GPS,,,,,NONE,,0,,,,,,,1988,,,0,,0,0,,POINT (-122.45427 37.772892),24,7,11,18,24
30738000,,30738000,03RD ST,GEARY,OPTICOM,KEARNY,3;6,MARKET,,ALL,,GPS,FIRE PREEMPT,,BETTER MARKET,,FULL FUTURE,,0,NONE,NONE,FUTURE,NONE,,,1959,,,0,,0,0,APS_4WIRE_MARKET (14),POINT (-122.40342 37.787636),32,6,10,8,32
24494000,,24494000,01ST ST,HARRISON,,US I-80 ON RAMP,6,,,ALL,,GPS,,,,HARRISON,FULL DONE,,1999,NONE,NONE,DONE,NONE,SALES TAX,,1957,80(a),,25,X,75,0,PENDING,POINT (-122.39292 37.786064),30,1,10,8,30
54239000,,54239000,GIRARD,GORGAS,,US 101 OFF RAMP,2,,,ALL,YES,GPS,,,,DOYLE DRIVE,CALTRANS,,0,,,,,,,2015,101,X,100,,0,0,APS CAMPBELL,POINT (-122.45221 37.802757),3,,6,27,3
25030000,,25030000,GRANT,JACKSON,,,3,,,SOME PHASES,,GPS,,,,,NONE,,0,,,,,,,1973,,,0,,0,0,,POINT (-122.40664 37.79602),104,6,3,6,104
9751000,,9751000,OAK,MIDBLOCK AT,,FRANKLIN,5,GOUGH,,ALL,YES,GPS,FIRE PREEMPT,,,PRIVATE,NEW DONE,,1997,,,,,PRIVATE,,1997,,,100,,0,0,,POINT (-122.42175 37.775124),21,4,11,9,21
25223000,,25223000,BUSH,VAN NESS,,,2;3,,,ALL,,GPS,,,VAN NESS BRT,BUSH,FULL DONE,21-Apr,2021,NONE,NONE,DONE,NONE,FED/SALES TAX,,1948,101(b),,50,X,50,0,PENDING,POINT (-122.421936 37.788486),50,4,3,21,50
25952000,,25952000,HAYES,WEBSTER,,,5,,,FUTURE,,GPS,,,Western Addition Phase 2,,FULL FUTURE,,0,NONE,NONE,FUTURE,NONE,,,1974,,,0,,0,0,FUTURE,POINT (-122.42954 37.77604),22,4,11,9,22
24662000,,24662000,GRANT,SUTTER,OPTICOM,,3,,,ALL,,GPS,TSP;FIRE PREEMPT,,,,NONE,,0,,,,,,,1957,,,0,,0,0,,POINT (-122.40539 37.789627),19,6,3,8,19
24908000,,24908000,POST,STOCKTON,OPTICOM,,3,,,ALL,,GPS,TSP;FIRE PREEMPT,,Lower Stockton,,NONE,,0,,,,,,,1954,,,0,,0,0,APS_ENAV 4WIRE_DPW PROW (8),POINT (-122.40676 37.788494),19,6,3,8,19
5331101,,5331101,EVANS,POST OFFICE,,,10,,WIRELESS,ALL,YES,GPS,,,,CT 51,NEW DONE,,1999,,,,,SALES TAX,,1999,,,0,,0,0,,POINT (-122.38277 37.739895),76,2,9,1,76
23566000,,23566000,19TH ST,ILLINOIS,VETAG,,10,,WIRELESS,ALL,YES,GPS,TRANSIT PREEMPT,,,3RDLRP,NEW DONE,,0,DONE,NONE,NONE,NONE,,,2019,,,0,,0,0,APS ENAV 2WIRE MISSION BAY LOOP (4),POINT (-122.38768 37.76182),55,2,9,26,55
27578000,,27578000,ARGUELLO,LAKE,,SACRAMENTO,2,,,ALL,,GPS,,,,ARGUELLO; CT 18,FULL DONE,,0,NONE,NONE,DONE,NONE,,,1972,,,0,,0,0,APS iNAV 2WIRE ARGUELLO (8),POINT (-122.45927 37.786907),4,8,6,31,4
21346000,,21346000,26TH ST,VALENCIA,,,8;9,,,ALL,,GPS,,,,VALENCIA,FULL DONE,,1995,NONE,NONE,DONE,NONE,SALES TAX,,1980,,,0,,0,0,,POINT (-122.42034 37.7489),53,3,2,20,53
22424000,,22424000,FOWLER,PORTOLA,,SYDNEY,7,,WIRELESS,SOME PHASES,YES,GPS,,,,,NONE,,0,,,,,,,1961,,,0,,0,0,APS_4WIRE_ARRA (3),POINT (-122.453354 37.744587),72,9,8,41,72
27560000,,27560000,CALIFORNIA,COMMONWEALTH,,,2,,,N.A.,YES,GPS,,,,CT 63,BEACON DONE,,0,NONE,NONE,NONE,DONE,SALES TAX,,2018,,,0,,0,0,,POINT (-122.45585 37.7861),11,8,6,31,11
21486000,,21486000,GENEVA,MISSION,OPTICOM,,11,,,ALL,,GPS,TSP;FIRE PREEMPT,,,CT 23; MISSION IV,FULL DONE,,1999,NONE,NONE,DONE,NONE,SALES TAX,,1950,,,0,,0,0,APS_4WIRE_PH2 (8),POINT (-122.44101 37.716454),58,9,1,7,58
33572000,,33572000,CLARENDON,GALEWOOD,,,7,,,n.a.,,GPS,,,,,B&F,,0,NONE,NONE,NONE,DONE,,,0,,,0,,0,0,,POINT (-122.45599 37.752327),48,7,8,38,48
25906000,,25906000,GOUGH,OAK,,,5,,,ALL,,GPS,FIRE PREEMPT,,,FELL/OAK,FULL DONE,Jul-00,0,NONE,NONE,DONE,NONE,SALES TAX,FUTURE,1953,,,0,,0,0,,POINT (-122.422585 37.775017),21,4,11,9,21
26699000,,26699000,FRANKLIN,LOMBARD,,,2,,WIRELESS,ALL,,GPS,,,,LOMBARD/RICHARDSON,FULL DONE,6-Jan,0,NONE,NONE,DONE,NONE,SALES TAX,FUTURE,1948,480(b),,50,X,50,0,PENDING,POINT (-122.42617 37.80109),15,4,6,13,15
26928000,,26928000,GEARY,SPRUCE,OPTICOM,,1;2,,,ALL,,GPS,FIRE PREEMPT,,,CT 58,NEW DONE,,2009,,,,,SALES TAX,,2009,,,0,,0,0,,POINT (-122.453156 37.78171),12,8,4,18,12
26494000,,26494000,GEARY,GOUGH,OPTICOM,PETER YORKE,2;5,STARR KING,,ALL,,GPS,TSP;FIRE PREEMPT,,Geary BRT Phase 1,,FULL DONE,21-Mar,2021,NONE,NONE,DONE,NONE,SALES TAX,FUTURE,1953,,,0,,0,0,PENDING,POINT (-122.424675 37.785328),100,4,11,39,100
26507000,,26507000,GOUGH,PINE,,,2;5,,,ALL,,GPS,,,,Gough Future Upgrade; PINE,MOD AFTER FULL DONE,Oct-00,0,NONE,DONE,DONE,NONE,SALES TAX,,1949,,,0,,0,0,APS iNAV 3WIRE GOUGH (8),POINT (-122.42541 37.78899),100,4,6,39,100
30731000,,30731000,01ST ST,BATTERY,,BUSH,3;6,MARKET,QUEUE LOOPS,ALL,,GPS,,,,CT 24,FULL AFTER MOD FUTURE,Jun-98,1999,DONE,DONE,FUTURE,NONE,SALES TAX,,1951,,,0,,0,0,,POINT (-122.39913 37.79101),108,6,10,8,108
20241000,,20241000,EVANS,PHELPS,,,10,,VIDEO,ALL,YES,GPS,,,CT 35,3RDLRP,MOD AFTER NEW PENDING,1-Oct,2006,DONE,PENDING,NONE,NONE,SALES TAX,,2006,,,0,,0,0,APS_2WIRE_PH1 (8),POINT (-122.38844 37.742977),86,2,9,1,86
25111000,,25111000,BROADWAY,POWELL,,,3,,,ALL,,GPS,FIRE PREEMPT,,,Broadway Streetscape PH 4;CT 18,FULL AFTER MOD PENDING,,0,NONE,DONE,PENDING,NONE,SALES TAX,,1952,,,0,,0,0,,POINT (-122.41025 37.797417),104,6,3,6,104
25478000,,25478000,NORTH POINT,STOCKTON,OPTICOM,,3,,,ALL,,GPS,TSP;FIRE PREEMPT,,,CT 55,NEW DONE,3-Jan,2005,,,,,SALES TAX,,2005,,,0,,0,0,,POINT (-122.410484 37.806957),99,6,3,23,99
24022000,,24022000,16TH ST,POTRERO,OPTICOM,,10,,,ALL,,GPS,TSP;FIRE PREEMPT,,,POTRERO,FULL DONE,3-Apr,2005,NONE,NONE,DONE,NONE,SALES TAX,,1948,,,0,,0,0,PENDING,POINT (-122.407524 37.765778),54,3,9,20,54
27505000,,27505000,20TH AVE,GEARY,OPTICOM,,1,,,ALL,,GPS,FIRE PREEMPT,,Geary BRT Phase 2 (unfunded),CT 26,FULL AFTER MOD FUTURE,Jul-00,2002,NONE,DONE,DONE,NONE,SALES TAX,,1950,,,0,,0,0,,POINT (-122.47937 37.78033),8,8,4,29,8
25916000,,25916000,FELL,GOUGH,,,5,,,ALL,,GPS,FIRE PREEMPT,,,FELL/OAK,FULL DONE,Jul-00,0,NONE,NONE,DONE,NONE,SALES TAX,,1948,,,0,,0,0,,POINT (-122.422775 37.775944),21,4,11,9,21
34190000,,34190000,16TH ST,TERRY FRANCOIS,,,6,,VIDEO (GRIDSMART),ALL,YES,GPS,,,,MISSION BAY,NEW DONE,,0,DONE,NONE,NONE,NONE,,,2019,,,0,,0,100,APS ENAV 2WIRE WARRIORS (6),POINT (-122.38592 37.76702),34,1,9,26,34
21737000,,21737000,ITALY,MISSION,OPTICOM,,11,,,ALL,,GPS,TSP;FIRE PREEMPT,,MISSION IV,,FULL FUTURE,,0,NONE,NONE,FUTURE,NONE,,,1976,,,0,,0,0,,POINT (-122.43948 37.718464),90,9,1,7,90
23204000,,23204000,19TH AVE,QUINTARA,OPTICOM,,4;7,,LOOPS,ALL,YES,GPS,TSP;FIRE PREEMPT,,,19th Avenue APS; 19th AVE PH 1,FULL DONE,7-Aug,2009,NONE,NONE,DONE,NONE,STATE/CITY,,1946,1(a),,50,X,50,0,APS ENAV 2WIRE 19thAV (8),POINT (-122.47602 37.748642),44,10,8,41,44
27446000,,27446000,CABRILLO,PARK PRESIDIO,,,1,,LOOPS,ALL,YES,GPS,,,,19th AVE PH 2,FULL DONE,8-Jan,2009,NONE,NONE,DONE,NONE,STATE/CITY,,1946,1(a),,50,X,50,0,PENDING,POINT (-122.47189 37.774998),5,8,4,11,5
25004000,,25004000,MASON,PINE,,,3,,,ALL,,GPS,,,,PINE,FULL DONE,Oct-00,0,NONE,NONE,DONE,NONE,SALES TAX,,1949,,,0,,0,0,,POINT (-122.41061 37.790874),16,6,3,21,16
6436206,,6436206,GREAT HWY,NORIEGA,,,4,,,ALL,,GPS,,,GREAT HIGHWAY,,FULL FUTURE,,0,NONE,NONE,FUTURE,NONE,,,1988,,,0,,0,0,FUTURE,POINT (-122.50888 37.752808),39,10,7,35,39
26590001,,26590001,FILLMORE,GEARY (SOUTH),,,5,,,ALL,,GPS,,,Geary BRT Phase 1,,FULL DONE,21-Feb,2021,NONE,NONE,DONE,NONE,,,1976,,,0,,0,0,,POINT (-122.43288 37.78422),101,4,11,39,101
25179000,,25179000,O'FARRELL,POLK,OPTICOM,,6,,,ALL,,GPS,TSP;FIRE PREEMPT,,,Polk Streetscape; PCS2010 BATCH 3,MOD AFTER FULL PENDING,,0,NONE,PENDING,DONE,NONE,SALES TAX,,1957,,,0,,0,0,APS ENAV 4WIRE POLK (8),POINT (-122.41953 37.784954),20,4,10,36,20
8773201,,8773201,MARKET,MIDBLOCK AT,,HATTIE,8,MERRITT (WB),,N.A.,,GPS,,,,,,,0,,,,,,,2018,,,0,,0,0,,POINT (-122.44117 37.761112),115,3,5,5,115
27211000,,27211000,ARGUELLO,CABRILLO,,,2,,,n.a.,YES,GPS,,,,ARGUELLO,BEACON DONE,,0,NONE,NONE,NONE,DONE,TSIP,,2019,,,0,,0,0,,POINT (-122.45845 37.77561),12,8,4,18,12
23875000,,23875000,07TH ST,BRYANT,OPTICOM,US I-80 OFF RAMP,6,,,ALL,,GPS,FIRE PREEMPT,,,BRYANT,FULL DONE,Jun-96,1998,NONE,NONE,DONE,NONE,SALES TAX,,1954,80(a),,20,X,80,0,PENDING,POINT (-122.40473 37.774277),32,1,10,34,32
27475000,,27475000,ANZA,PARK PRESIDIO,,,1,,LOOPS,ALL,YES,GPS,,,,19th AVE PH 2,FULL DONE,8-Jan,2009,NONE,NONE,DONE,NONE,STATE/CITY,,1946,1(a),,50,X,50,0,PENDING,POINT (-122.47216 37.778725),5,8,4,11,5
12553201,,12553201,EMBARCADERO,MIDBLOCK AT,VETAG,FERRY BUILDING NB,3,,,ALL,,GPS,TSP,,,MID EMB,NEW DONE,,1999,DONE,NONE,NONE,NONE,FEDS,,2000,,,0,,0,100,APS_4WIRE_PH1 (3),POINT (-122.39379 37.795177),108,6,3,8,108
25098000,,25098000,MASON,WASHINGTON,MECHANICAL,,3,,,n.a.,,GPS,CABLE CAR PREEMPTION,,,,B&F,,0,NONE,NONE,NONE,DONE,,,1985,,,0,,0,0,,POINT (-122.411354 37.79452),16,6,3,21,16
24557000,,24557000,MAIN,MISSION,OPTICOM,,6,,,ALL,,GPS,FIRE PREEMPT,,Signal Visibility Upgrades Ph 2,SOMA MISSION,MOD AFTER FULL FUTURE,1-Apr,0,NONE,FUTURE,DONE,NONE,SALES TAX,,1956,,,0,,0,0,,POINT (-122.39493 37.791836),108,1,10,8,108
10549000,,10549000,GOODLETT,MIDBLOCK AT,,GROVE,6,MCALLISTER,,ALL,,GPS,,,,,NEW DONE,2015,0,DONE,NONE,NONE,NONE,,,2015,,,0,,0,0,APS ENAV 4WIRE CITY HALL (2),POINT (-122.418396 37.77934),21,4,10,36,21
26044000,,26044000,EDDY,FILLMORE,OPTICOM,,5,,,FUTURE,,GPS,TSP;FIRE PREEMPT,,Western Addition Phase 2,Fillmore/Haight Installed Conduit,FULL FUTURE,,0,NONE,NONE,FUTURE,NONE,,,1981,,,0,,0,0,FUTURE,POINT (-122.43231 37.78142),97,4,11,39,97
33647000,,33647000,BACON,SAN BRUNO,OPTICOM,,9,,,ALL,,GPS,TSP;FIRE PREEMPT,,,San Bruno; CT 49,MOD AFTER NEW DONE,,1999,DONE,DONE,NONE,NONE,SALES TAX,,1998,,,0,,0,0,,POINT (-122.40358 37.72763),91,2,2,25,91
24439000,,24439000,LARKIN,MCALLISTER,OPTICOM,,6,,,ALL,,GPS,FIRE PREEMPT,,,TENDERLOIN,FULL DONE,2-Jan,0,NONE,NONE,DONE,NONE,SALES TAX,,1948,,,0,,0,0,APS_4WIRE_PH2 (8),POINT (-122.41693 37.780464),21,5,10,36,21
7832202,,7832202,KING,MIDBLOCK AT,,02ND ST,6,03RD ST,,n.a.,,GPS,,,,,MESSAGE SIGN,,0,,,,,,,2000,,,0,,0,0,,POINT (-122.39118 37.778748),31,1,10,4,31
26698000,,26698000,FILBERT,FRANKLIN,,,2,,,ALL,,GPS,,,,Franklin Future Upgrade,FULL DONE,,0,NONE,NONE,DONE,NONE,SALES TAX,,1964,,,0,,0,0,,POINT (-122.4258 37.79927),15,4,6,13,15
25946000,,25946000,LAGUNA,MCALLISTER,OPTICOM,,5,,,ALL,,GPS,TSP;FIRE PREEMPT,,,TSI,NEW DONE,,2015,DONE,NONE,NONE,NONE,Prop B Go Bond,,2015,,,0,,0,0,,POINT (-122.42682 37.779255),97,4,11,39,97
24498000,,24498000,FOLSOM,FREMONT,,,6,,,ALL,,GPS,,,,Transbay Folsom; Caltrans West Approach Project,FULL DONE,,2010,NONE,NONE,DONE,NONE,CALTRANS,,1958,,,0,,0,0,PENDING,POINT (-122.393585 37.78799),30,1,10,8,30
25191000,,25191000,EDDY,FRANKLIN,,,5,,,ALL,,GPS,,,,Franklin Upgrade,FULL DONE,,0,NONE,NONE,DONE,NONE,SALES TAX,,1961,,,0,,0,0,,POINT (-122.42245 37.78268),100,4,11,39,100
24372000,,24372000,14TH ST,MISSION,OPTICOM,,8,,,ALL,,GPS,TSP;FIRE PREEMPT,,,MID MISSION,FULL DONE,,2007,NONE,NONE,DONE,NONE,,,1953,,,0,,0,0,,POINT (-122.41997 37.76827),53,3,2,20,53
24712000,,24712000,JACKSON,SANSOME,,,3,,,ALL,,GPS,,,,Sansome Two Way,FULL DONE,,0,,,,,,,1973,,,0,,0,0,,POINT (-122.40184 37.79662),106,6,3,6,106
24192000,,24192000,10TH ST,BRYANT,OPTICOM,US 101 S ON RAMP,6,,,ALL,,GPS,FIRE PREEMPT,,CT 36,BRYANT,MOD AFTER FULL FUTURE,Jun-96,1998,NONE,FUTURE,DONE,NONE,SALES TAX,,1948,101(a),,20,X,80,0,,POINT (-122.40972 37.770344),33,1,10,34,33
24903000,,24903000,GEARY,POWELL,OPTICOM,,3,,,ALL,,GPS,TSP;FIRE PREEMPT,,Powell Streetscape,DOWNTOWN GEARY,FULL DONE,3-Feb,0,NONE,NONE,DONE,NONE,SALES TAX,,1957,,,0,,0,0,APS_ENAV 4WIRE_DPW PROW (8),POINT (-122.40821 37.787354),19,6,3,8,19
26175000,,26175000,DANVERS,MARKET,,,8,,,ALL,,GPS,,,,,NONE,,0,,,,,,,1985,,,0,,0,0,,POINT (-122.443504 37.760506),115,3,5,5,115
27862000,,27862000,37TH AVE,FULTON,OPTICOM,,1,,WIRELESS,ALL,YES,GPS,TSP;FIRE PREEMPT,,,CT 63,NEW DONE,,2017,DONE,NONE,NONE,NONE,SALES TAX,,2017,,,0,,0,0,APS ENAV 2WIRE CT63 (6),POINT (-122.49703 37.771976),9,8,4,12,9
24756000,,24756000,CLAY,MONTGOMERY,OPTICOM,,3,,,ALL,,GPS,TSP;FIRE PREEMPT,,,,MOD DONE,,0,,DONE,,,SALES TAX,,1967,,,0,,0,0,,POINT (-122.40313 37.794662),108,6,3,6,108
24122000,,24122000,20TH ST,FOLSOM,,,9,,,ALL,,GPS,,,,CT 32,MOD DONE,,0,,DONE,,,,,1958,,,0,,0,0,,POINT (-122.41468 37.758892),53,3,2,20,53
8673101,,8673101,MANSELL EB,MIDBLOCK AT,,JOHN F SHELLEY DR EAST,10,JOHN F SHELLEY DR WEST,,N.A.,,GPS,,,,,,,0,,,,,,,2020,,,0,,0,0,,POINT (-122.41669 37.718353),73,9,9,19,73
26058000,,26058000,BRODERICK,FELL,,,5,,,ALL,,GPS,,,,HES,FULL DONE,Jul-00,0,NONE,NONE,DONE,NONE,SALES TAX,,1955,,,0,,0,0,,POINT (-122.43926 37.77384),24,7,11,9,24
